Date,Open,High,Low,Close,Volume
03/01/2011 16:00:00,5.37,5.4,5.18,5.32,1284084
04/01/2011 16:00:00,5.33,5.39,5.2,5.33,1189071
05/01/2011 16:00:00,5.3,5.38,5.24,5.37,1446869
06/01/2011 16:00:00,5.37,5.6,5.36,5.58,2061217
07/01/2011 16:00:00,5.6,5.72,5.58,5.65,2249540
10/01/2011 16:00:00,5.63,5.74,5.61,5.69,1342812
11/01/2011 16:00:00,5.72,5.74,5.38,5.39,1711355
12/01/2011 16:00:00,5.4,5.48,5.3,5.39,964722
13/01/2011 16:00:00,5.39,5.39,5.23,5.24,723522
14/01/2011 16:00:00,5.23,5.32,5.12,5.15,1192121
18/01/2011 16:00:00,5.1,5.13,4.95,5.13,1623839
19/01/2011 16:00:00,5.05,5.09,4.75,4.81,2371514
20/01/2011 16:00:00,4.81,4.89,4.47,4.52,2279958
21/01/2011 16:00:00,4.62,4.72,4.54,4.61,1216941
24/01/2011 16:00:00,4.71,4.96,4.65,4.9,1645189
25/01/2011 16:00:00,4.93,4.98,4.8,4.94,1271557
26/01/2011 16:00:00,4.94,4.98,4.82,4.95,1079867
27/01/2011 16:00:00,4.95,5.02,4.91,4.98,895655
28/01/2011 16:00:00,4.98,4.98,4.75,4.8,1048811
31/01/2011 16:00:00,4.81,4.82,4.7,4.82,830214
01/02/2011 16:00:00,4.86,4.95,4.71,4.78,707791
02/02/2011 16:00:00,4.78,4.84,4.73,4.79,569472
03/02/2011 16:00:00,4.76,4.78,4.63,4.73,512067
04/02/2011 16:00:00,4.73,4.73,4.64,4.69,543917
07/02/2011 16:00:00,4.65,4.65,4.58,4.61,895011
08/02/2011 16:00:00,4.62,5.05,4.6,4.9,3505183
09/02/2011 16:00:00,4.83,4.84,4.56,4.64,2636262
10/02/2011 16:00:00,4.65,4.73,4.56,4.64,836020
11/02/2011 16:00:00,4.65,4.75,4.59,4.65,636602
14/02/2011 16:00:00,4.63,4.83,4.61,4.62,1283404
15/02/2011 16:00:00,4.6,4.63,4.51,4.57,960851
16/02/2011 16:00:00,4.62,4.99,4.61,4.95,4115806
17/02/2011 16:00:00,4.93,5.1,4.71,4.72,2619942
18/02/2011 16:00:00,4.67,4.7,4.59,4.64,2370770
22/02/2011 16:00:00,4.58,4.6,4.36,4.37,2064540
23/02/2011 16:00:00,4.44,4.5,4.22,4.37,1605708
24/02/2011 16:00:00,4.36,4.52,4.3,4.51,1055450
25/02/2011 16:00:00,4.56,4.77,4.54,4.72,1347257
28/02/2011 16:00:00,4.75,4.82,4.7,4.78,1051106
01/03/2011 16:00:00,4.8,4.86,4.74,4.79,1106350
02/03/2011 16:00:00,4.76,4.86,4.75,4.8,663294
03/03/2011 16:00:00,4.85,4.96,4.81,4.87,640140
04/03/2011 16:00:00,4.9,5,4.76,4.99,1580100
07/03/2011 16:00:00,4.99,5.08,4.94,4.99,2033531
08/03/2011 16:00:00,4.98,4.99,4.8,4.93,1399851
09/03/2011 16:00:00,4.88,5,4.85,4.94,924721
10/03/2011 16:00:00,4.89,4.9,4.75,4.8,1017047
11/03/2011 16:00:00,4.77,4.85,4.71,4.81,930794
14/03/2011 16:00:00,4.76,4.8,4.64,4.65,1165971
15/03/2011 16:00:00,4.44,4.59,4.36,4.59,1318869
16/03/2011 16:00:00,4.57,4.65,4.54,4.56,1169676
17/03/2011 16:00:00,4.65,4.69,4.53,4.56,922504
18/03/2011 16:00:00,4.64,4.64,4.5,4.59,687823
21/03/2011 16:00:00,4.61,4.61,4.51,4.55,411650
22/03/2011 16:00:00,4.55,4.57,4.4,4.44,582813
23/03/2011 16:00:00,4.42,4.45,4.35,4.44,422793
24/03/2011 16:00:00,4.43,4.48,4.4,4.47,462160
25/03/2011 16:00:00,4.49,4.6,4.48,4.55,567922
28/03/2011 16:00:00,4.54,4.71,4.51,4.65,1058018
29/03/2011 16:00:00,4.66,4.8,4.64,4.78,755591
30/03/2011 16:00:00,4.82,4.9,4.6,4.74,1223877
31/03/2011 16:00:00,5.3,5.74,5.3,5.55,11522337
01/04/2011 16:00:00,5.55,5.64,5.31,5.33,2865087
04/04/2011 16:00:00,5.37,5.4,5.05,5.17,2609227
05/04/2011 16:00:00,5.18,5.4,5.14,5.34,3181727
06/04/2011 16:00:00,5.4,5.4,5.16,5.3,1288297
07/04/2011 16:00:00,5.37,5.59,5.29,5.45,2810766
08/04/2011 16:00:00,5.52,5.52,5.27,5.3,1946352
11/04/2011 16:00:00,5.31,5.31,5,5.05,1372200
12/04/2011 16:00:00,5.02,5.04,4.86,4.93,1357401
13/04/2011 16:00:00,5.03,5.14,4.96,4.99,1211444
14/04/2011 16:00:00,4.97,5.06,4.84,5.03,983382
15/04/2011 16:00:00,5.13,5.24,5.08,5.12,943451
18/04/2011 16:00:00,5.03,5.12,4.87,5.01,1033871
19/04/2011 16:00:00,5,5.05,4.93,5.03,548693
20/04/2011 16:00:00,5.14,5.22,5.06,5.15,837469
21/04/2011 16:00:00,5.17,5.4,5.12,5.35,1386053
25/04/2011 16:00:00,5.34,5.35,5.19,5.28,800839
26/04/2011 16:00:00,5.28,5.45,5.26,5.39,1372343
27/04/2011 16:00:00,5.39,5.47,5.33,5.42,996901
28/04/2011 16:00:00,5.41,5.54,5.34,5.53,1644997
29/04/2011 16:00:00,5.54,5.57,5.48,5.52,726340
02/05/2011 16:00:00,5.52,5.56,5.41,5.49,784560
03/05/2011 16:00:00,5.48,5.48,5.3,5.37,913965
04/05/2011 16:00:00,5.36,5.4,5.15,5.34,1047169
05/05/2011 16:00:00,5.44,5.49,5.23,5.29,1219449
06/05/2011 16:00:00,5.38,5.54,5.32,5.42,981606
09/05/2011 16:00:00,5.4,5.6,5.37,5.58,916303
10/05/2011 16:00:00,5.61,5.79,5.58,5.67,1535626
11/05/2011 16:00:00,5.64,5.66,5.38,5.41,962965
12/05/2011 16:00:00,5.41,5.55,5.33,5.53,627740
13/05/2011 16:00:00,5.6,5.64,5.46,5.51,661577
16/05/2011 16:00:00,5.6,5.6,5.31,5.32,755622
17/05/2011 16:00:00,5.4,5.4,5.14,5.19,1234156
18/05/2011 16:00:00,5.22,5.29,5.1,5.27,729407
19/05/2011 16:00:00,5.41,5.69,5.32,5.64,2655367
20/05/2011 16:00:00,5.65,5.66,5.47,5.59,842534
23/05/2011 16:00:00,5.52,5.52,5.32,5.36,863548
24/05/2011 16:00:00,5.4,5.5,5.32,5.34,613673
25/05/2011 16:00:00,5.38,5.8,5.23,5.8,4693811
26/05/2011 16:00:00,5.78,5.95,5.62,5.9,3336891
27/05/2011 16:00:00,5.88,5.93,5.76,5.91,1687069
31/05/2011 16:00:00,5.94,6.06,5.91,6.03,3290522
01/06/2011 16:00:00,6,6.02,5.68,5.7,1530396
